text,label
আলহামদুলিল্লাহ ইয়া আল্লাহ আপনি আমাদের মাননীয় প্রধানমন্ত্রীকে নেক হায়াত দান করুন। ভালো থাকুক সকল মানুষ আনন্দে থাকুক। আমীন ❤️,positive
আলহামদুলিল্লাহ একটা নতুন অধ্যায় যোগ হলো বাংলাদেশ,neutral
আলহামদুলিল্লাহ্. কি অপূর্ব দৃশ্য. এই দিন টির জন্য কতোই না অপেক্ষায় ছিলো সমগ্র জাতী. মাননীয় প্রধানমন্ত্রী কে ধন্যবাদ দিয়ে শুধু তাঁর অবদানের কৃতজ্ঞতা প্রকাশ অসম্ভব. মহান আল্লাহ্ আপনাকে উত্তম প্রতিদান দান করুন.,positive
"আশংকা হচ্ছে এখানে আবার &;&;সবুজ রঙের রড&;&; দেয়নি তো,,,,???",negative
"এক্ষণ গাড়িতে করে বাড়ি যাবো কোনো বাধা ছাড়া,ধন্যবাদ মাননীয় প্রধানমন্ত্রীজয় বাংলা",positive
এখন আমরা দেখতে চাই পাটুরিয়া ঘাটে আরেক পদ্ম সেতু,positive
এগিয়ে যাক অামাদের দেশ 🇧🇩,neutral
এতো তাড়াতাড়ি শেষ না হলে আরো দুর্নীতি করে । ব্যাংক ভরা যেতো,neutral
কলকাতা থেকে পদ্মা সেতু হয়ে ঢাকা যেতে এখন মাত্র ৬-৭ ঘণ্টা লাগবে (৩৫০ কিমি. )। খুব ভালো একটা   হতেই পারে।   !,positive
কালকে ফেরি আটকানো কারনে এক বাচা মারা জায় মিডিয়া এই গুলা দেখেনা,negative
কিছুটা দেরিতে হলেও এটা বাংলাদেশের জন্য বিশাল অর্জন। আশা করি এখান থেকে একটা নতুন বাংলাদেশের সূচনা হবে।,positive
খুব খুশিতে কান্না চলে এসেছে,positive
খুব সুন্দর হয়েছে পদ্মা সেতু    🇮🇳 ❤️,positive
চীনের টাকায় ব্রিজ না বানিয়ে বাংলাদেশ বরং দু-চারটে হাসপাতাল বানাক। তাতে অন্ততঃ চেন্নাই-কোলকাতা-দিল্লির উপরে চাপ কমবে। আমাদের দেশের রোগীরা নিজের শহরে পরিসেবা পাবে।,negative
জাজিরা প্রান্তের লোকজন যারা ঢাকায় বাসা ভাড়া দিয়ে থাকেন তারা অনেকেই নিজ এলাকায় চলে আসছেন এবং ঢাকার বাসা গুলা ছেড়ে দিচ্ছেন।,neutral
"জাস্ট ওয়াও,,,ধন্যবাদ মাননীয় প্রধানমন্ত্রী শেখ হাসিনা",positive
জ্যাম কেমন টোল প্লাজায়?,neutral
"টেনশনে আছি,, আমাদের দেশের কিছু অসব্য মানুষ আছে তারা নাকি আবার পোস্টার পেষ্টুন লাগিয়ে অবকাঠামোর সৌন্দর্য নষ্ট করে পেলে,,,সরকারের উচিত পুরো বাংলাদেশে এদের জন্য একটা আইন প্রনয়ণ করা,, একমত হলে লাইক দিন সবাই",positive
ডিস্টার্বের মৃল কারণ যমুনা টিভি টা কি মাঝখানে ইউটিউবারের মতো দিতে হলো ছি,neutral
দেখতে খুব সুন্দর দেখাচ্ছে ❤❤❤❤,positive
দেখলে অনুভূতিতে চোখের পানি চলে আসে,negative
ধন্যবাদ মাননীয় প্রধানমন্ত্রী 🥰🖤আপনার দীর্ঘ আয়ু কামনা করি ❤️,positive
"পদ্মা সেতু নিয়ে এত নিউজ করে কি হবে যদিনা যাত্রিরা হ ভাড়ায় যেতে পারে গন্তব্যে,,,,,",neutral
"পদ্মা সেতু ,,শুধু একটি সেতুই নয়_এটি আমাদের এক একটি হারানো প্রাণ🖤,,,,,ফেরিঘাটে এম্বুলেন্স আটকে মাকে হারানো সন্তান জানে পদ্মা সেতু কি😥তিন ঘন্টা দেরি হওয়াতে ইন্টারভিউ দিতে না পারা বেকার ছেলেটিও জানে পদ্মা সেতু কি😶কুয়াশার কারণে ফ্লাইট মিস করার রেমিটেন্স যোদ্ধা জানে পদ্মা সেতু কি😒প্রচন্ড ঝড়ে পদ্মায় ট্রলারসহ সন্তান ডুবে যাওয়া, সন্তানকে খুঁজে না পাওয়া বাবা মা জানে পদ্মা সেতু কি😭",negative
"পদ্মা সেতু অনেক সুন্দর হয়েছে, শরিয়ত পুরের কোনো উন্নতি হয়নি, পুরা গ্রাম জঙ্গল এলাকা, চলাচলের রাস্তা ভাঙা, বৃটিশ আমলের পুরাতন বাড়ি ঘর, শরিয়ত পুর দেশটি কোনো ভাবে ই সুন্দর না, বিরক্ত লাগার মতো দেশ, শহরের মানুষ ঐ দেশে চাকরি করতে যায় , ওদের কত কষ্ট হয় ঐ দেশে থাকতে।",negative
পদ্মা সেতু আমাদের বাংলাদেশের গর্ব।,positive
পদ্মা সেতু উদ্বোধন করার পর থেকে বর্তমানে পদ্মা সেতু পাড়ি দিতে কতক্ষণ সময় লাগে,neutral
"পদ্মা সেতু উদ্ভবন এর সময় প্রধানমন্ত্রী যতই হাসি মুখ দেখাক সবাইকে কিন্তু তিনি নিজে তো জানেন এমন ঐতিহাসিক দিনে তার প্রানপ্রিয় ছেলে জয় বাবা না থাকায় তার হৃদয় কতোখানি ক্ষতবিক্ষত ছিলো, কারণ এটাও তো ইতিহাস হয়ে রইলো।",positive
"পদ্মা সেতু নিয়ে গান < =""://../?="">://./</>",neutral
"পদ্মা সেতু বনাম ভুপেন হাজারিকা সেতু। পদ্মা সেতুতে খরছ বেশী হল কেন?সিলেটে দ্বিতল বিল্ডিং তৈরী করছে দুবাই হারমাইন ফারফিউমের মালিক মাহতাব উদ্দিন নাছের। খরছ ৩০০ কৌটি, আর শাহালম সাহেব দ্বিতল বিল্ডিং তৈরী করেছে 3 কৌটি খরছ করে। সেটা আরো লম্বাই বড়। কি বলবেন?",neutral
পদ্মা সেতুতে ওঠার জন্য অস্থিরতা কাজ করছে,neutral
পদ্মা সেতুতে যারা কাজ করেচে তাদের সবার হাত কেটে পেলা হোক✌️✌️✌️,negative
পদ্মা সেতুর কারণে বোধহয় বাংলাদেশের মানুষ অমরত্ব লাভ করবে। যে লাফালাফি হচ্ছে পদ্মা সেতু নিয়ে... কি আর বলব.... বলছিনা অনেকে আবার অনেক কুখ্যাত সুন্দর ভাষায় গালি দিবে। ওহ্ হ্যা.. আরেক টি কথা ভারতের আসামের ধুবুরী জেলার ব্রহ্মপুত্র নদীর ওপর পদ্মার চাইতেও তিন গুণেরও বেশি বড় প্রায় ২০ কিলোমিটার সেতু নির্মাণ হচ্ছে। অথচ আসামের মানুষেরা কিন্তু বেহুঁশ হয়ে যাচ্ছে না। আনন্দে আত্মহারা হচ্ছে না। যেরকম হচ্ছে বাংলাদেশে,positive
"পদ্মা সেতুর নাটবল্টু কেনো খুললো ওরা< =""://../?=93"">://./93</>",neutral
পদ্মা সেতুর নামে আমাদেরকে পিছন মাইরা দিসে 🥴,neutral
"পদ্মা সেতুর পরিপূর্ণ সুবিধা পেতে হলে দক্ষিণবঙ্গের ৩ টি মূল মহাসড়ক গুলোকে এক্সপ্রেসওয়ে তে রূপান্তর করতে হবে - -১. ভাঙ্গা-বরিশাল-পায়রা-কুয়াকাটা২. ভাঙ্গা-গোপালগঞ্জ-ফকিরহাট-মংলা-খুলনা৩. ভাঙা-ফরিদপুর-মাগুরা-যশোরপ্রধানমন্ত্রীর কাছে বিনীত অনুরোধ তিনি যেন অতি দ্রুত এই মহাসড়ক গুলো ৪ +২ লেনের এক্সপ্রেসওয়ে তে রূপান্তর করতে উদ্যোগী হোন ।সেইসাথে উত্তর সিটি কর্পোরেশন, হেমায়েতপুর এবং সাভার এর লোকজন যেন ঢাকার জ্যাম এড়িয়ে বিনা বাধায় পদ্মা সেতুতে যেতে পারে সেজন্য প্রস্তাবিত আউটার রিং রোডের হেমায়েতপুর থেকে কালাকান্দি পর্যন্ত অংশটি অতি দ্রুত নির্মাণ করে দেন।",positive
পদ্মা সেতুর মাঝখানে গাড়ি দাড়করিয়ে যারা সেল্ফি তুলতেছে তাদের কে ওখান থেকে সরিয়ে দেওয়ার অনুরোধ করছি সেতু কতৃপক্ষ কে,negative
পর্যটন শিল্পের উন্নয়নে ফোকাস করতে হবে।,neutral
পাখি কি বিশ্লেশন করবে ব্রিজ নিয়ে !!!!,neutral
"পাখির চোখে তো অনেক দেখলাম,,, এইবার মাছের চোখেও পদ্মা সেতু দেখতে,,,,✌️✌️",neutral
পাখির চোখে মানে কি আসলে??????,neutral
পানিটা পরিস্কার হলে আরো সুন্দর লাগবে,positive
প্রধানমন্ত্রী আজ আর নাই। 😢,negative
প্রধানমন্ত্রী শেখ হাসিনাকে অভিনন্দন।।। বাঙালি জাতিকে এত সুন্দর একটা সেতু উপহার দেওয়ার জন্য।।।।,positive
"বরিশালে গ্রামের বাড়ি, এখান থেকে যেতে কত কষ্ট হত, এই দৃশ্য দেখে মনের সেই কস্ট দূর হয়ে গেছে ৷জাপান থেকেজাপান প্রবাসী তাসনীম হাসান26 জুন 2022",negative
"বর্তমানে বাস মালিকরা দক্ষিণ অঞ্চলের জন্য বিলাসবহুল বাস আনতেছে এটা ঠিক আছে কিন্তু বাসের ভাড়া আগের থেকেও কম নেওয়া উচিত। পদ্মা সেতুর টোল বেশি এই জন্য বাসের ভাড়া বাড়ানো এটি একটি অজুহাত ,কারণ একটা নতুন বাস কিনতে মনে করেন ১০ কোটি টাকা লাগে এই বাসটি ঢাকা থেকে খুলনা যেতে আগে সময় লাগতো কমবেশি সাত আট ঘন্টা এমনকি কখনো কখনো জ্যাম থাকলে আরো অনেক বেশি কিন্তু বর্তমানে পদ্মা সেতুর কারণে সময় লাগতেছে সাড়ে তিন থেকে চার ঘন্টা তাহলে দেখা যাচ্ছে যে আগে যে সময়ে একবার ঢাকা থেকে খুলনা যাওয়া যেত সেই একই সময় বর্তমানে একটি বাস দুইবার টিপ দিতে পারে এতে মালিকপক্ষ কি পরিমাণ লাভবান হচ্ছে এটা আন্দাজ করা যায়। আগে দুইটি বাসে দিয়ে যে পরিমাণ টিপে যাওয়া যেত এখন একটিতেই তা করা যায়। এর থেকে বোঝা যায় বাস মালিকদের অল্প বিনিয়োগে ডবল লাভ হচ্ছে।",positive
"বাংলাদেশ সরকারের এখন যত তাড়াতাড়ি সম্ভব ২০২৫-২৭ সালের মধ্যে পদ্মা সেতু-২ (আরিচা-পাটুরিয়া-দৌলোদিয়া) নির্মাণের দিকে মনোনিবেশ করা উচিত, যেটা বাংলাদেশের প্রধান নদীগুলির উপর দিয়ে যাতায়াতের জন্য সবচেয়ে ব্যবহৃত যত রুট আছে - সেগুলোকে সড়ক ব্যবস্থার মাধ্যমে সম্পূর্ণরূপে আওতাধীন করবে । সেই সাথে যেহেতু এটি কয়েক মিনিটের মধ্যেই দুই পাড়ের কাছাকাছি জেলাগুলিকে সহজেই সংযুক্ত করবে, তাই নিঃসন্দেহে পদ্মা সেতু-২ আমাদের অর্থনৈতিক প্রবৃদ্ধির অনেক দ্রুত উন্নতি ঘটাবে । তাছাড়া ঢাকা থেকেই যানবাহনগুলো দুই পদ্মা সেতুর দুই রুটে কোন দ্বিধা ছাড়াই ভাগ হয়ে যাওয়াতে সামগ্রিকভাবে যানজট অনেক কমে যাবে ।             -2  2025-27    ,                   .    ,                ,   -2        . ,                           .",positive
"বাংলাদেশের প্রতিটি নাগরিক প্রায় ৮০ হাজার টাকা ঋণগ্রস্ত। এবছর এটা আরও বৃদ্ধি পাবে।সরকার এই যে চড়া সুদে বিদেশী ঋণ নিয়ে একের পর এক অপ্রয়োজনীয় বড় বড় মেগা প্রজেক্ট করে চলেছে কিন্তু এগুলোর দায় বহন করতে হচ্ছে জনগণকে। এমন তো নয় যে এসব ঋণ শোধ করতে হবে না এবং এর সুদ বাড়ছে না। বরং এই ঋণগুলো শোধ করতে হবে সুদ-আসলে।নিত্য প্রয়োজনীয় দ্রব্যমূল্যের দাম বাড়া, ভ্যাট ট্যাক্স বৃদ্ধি হওয়ার অন্যতম কারণ হচ্ছে বিদেশি ঋণে মেগা প্রজেক্ট করা।এখন কথা হলো- মেগা প্রজেক্ট কি দরকার নেই? ব্রিজ রাস্তাঘাট সেতু এগুলো কি দরকার নেই আমাদের? হ্যাঁ দরকার আছে, অবশ্যই আছে কিন্তু সেটা একটা লিমিটের মধ্যে রাখতে হবে, যেটা খুব প্রয়োজন সেটাই করতে হবে যেহেতু এখানে লোন এবং সুদ একটা বিষয় রয়ে গেছে। আপনি একটু নিজের ক্ষেত্রে চিন্তা করুন আপনি কি সুদে টাকা লোন নিয়ে ফুটাংগিরি করে ফাইভ স্টার হোটেলে থাকবেন, আয়েশী জীবন যাপন করবেন? নিজের বেলায় কিন্তু এগুলো করবেন না কিন্তু রাষ্ট্রের বেলায় ঠিকই এসব করছেন। এখন ব্যক্তির ক্ষেত্রে ব্যক্তি দেউলিয়া হতে পারে কিন্তু রাষ্ট্রের ক্ষেত্রে কিন্তু পুরা রাষ্ট্রটা দেউলিয়া হয়ে যাওয়া মানে রাষ্ট্রের কোটি কোটি জনগণের উপর দায় চাপিয়ে দেওয়া। অর্থাৎ সরকার প্রধানের ব্যর্থতার দায় জনগণের উপর এসে বর্তাবে।মূল কথা হলো, সরকার যেভাবে বিদেশি ঋণ নিয়েই চলেছে কথিত মেগা প্রজেক্ট একনেকে পাস করেই চলেছে, এভাবে চলতে থাকলে বাংলাদেশ টিকবে না, একসময় ঋণের ভারে জর্জরিত হয়ে বাংলাদেশও শ্রীলংকার পথে পা বাড়াবে।সুতরাং, এই মুহূর্তে জনগণের উচিত একটা দাবি তোলা যে, বিদেশী ঋণে মেগা প্রজেক্ট বন্ধ কর, মেগা প্রজেক্ট বন্ধ কর, মেগা প্রজেক্ট বন্ধ কর।",negative
বাংলাদেশের সেই একটা অর্জন❤️ধন্যবাদ মাননীয় প্রধানমন্ত্রী শেখ হাসিনা❤️❤️❤️❤️,positive
বিনোদন মানেই বাংলাদেশ 😄 একটা সেতু নিয়ে এতো লাফালাফি করে এরা 😃,positive
বিশ্বাস করেন আমি স্বপ্নের ভিতরে পদ্মা সেতু দেখছি গতরাতে,positive
"বিসমিল্লাহির রহমানির রহিম,, প্রিয় বাংলাদেশবাশী,,মানণীয় প্রধানমন্তি জননেত্রী শেখ হাসিনা,, আসসালামুআলাইকুম আপনার পদ্মা সেতু,সপ্নের কিন্তু না বাস্তবে চোখে দেখিয়ে দিচেন,,এতে অশেশ অশেশ ধন্যবাদ,, আমাদের শেখ হাসিনা অধরভবিষত,,পুরোনো শিল্পী রুনালাইলা পদ্মা সেতুর গান টিভির চ্যানেলে দেওয়ার অনুরোধ রইলো,,,ইতি মোস্তাফিজুর রহমান (ডাবলু),,,,বিভাগ খুলনা,, জেলা চুয়াডাঙ্গা,, জয় বাংলা,,জ্য় বঙ্গবন্ধু 😍😍😍😍",positive
ব্যাকগ্রাউন্ড মিউজিকটা রক্ত গরম করার মতসব কিছু মিলে সেরাজয় বাংলা জয় বঙ্গবন্ধু,positive
ব্রিজের আশা পাশে বালু উত্তল সব বন্ধ করতে হবে।,positive
ভাই আর কত সিলেটের কথা বলেন,neutral
ভাবতেই অবাক লাগছে। ১২ ঘন্টার পথযাত্রা এখন মাএ ৩-৫ ঘন্টায় শেষ হবে 🤍🤍🤍🤍🤍🤍🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻,positive
"ভালো কাজে সমালোচনা থাকবেই,,,এইটা প্রধানমন্ত্রী শেখ হাসিনা আর আমাদের দেশের মানুষের জন্য একটা চ্যালেঞ্জ ছিল,,যাক আলহামদুলিল্লাহ অবশেষে স্বপ্ন বাস্তবায়ন হলো❤️❤️❤️।আল্লাহ পাকের অশেষ শুকরিয়া, এই সেতু অনেক মানুষের জন্য উপকারে আসবে।সঠিক রক্ষণাবেক্ষণ করতে হবে আমাদের সকলের মিলে,,এইটা আমাদের সেতু।",positive
মনে হয় না আর এই সরকার দ্বিতীয় পর্দা সেতু করতে পারবে কারণ সামনে নির্বাচন হয়তো শেখ হাসিনা আর ক্ষমতায় থাকবে না,neutral
"মাননীয় প্রধানমন্ত্রী জননেত্রী শেখ হাসিনাকে অসংখ্য ধন্যবাদ। জয় বাংলা, জয় বঙ্গবন্ধু ❤️💚",positive
মাননীয় প্রধানমন্ত্রী বঙ্গবন্ধুর কন্যা জননেত্রী শেখ হাসিনার হায়াত দান করুন ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️সৈয়দ আসলাম বাদল । সাবেক যুগ্ন আহবায়ক। জামালপুর জেলা ছাত্রলীগ। ১৯৯৯--২০০৩।।। জামালপুর জেলা,positive
মাননীয় প্রধানমন্ত্রীকে অসংখ্য ধন্যবাদ এরকম একটা সুন্দর সেতু উপহার দেওয়ার জন্য🥰🥰🥰,positive
মাননীয় প্রধানমন্ত্রীর আজ সুন্দর একটা ঘুম হয়েছে ❤️,positive
"মাননীয় প্রধানমন্ত্রীর কাছে,আমাদের দক্ষিণবঙ্গের মানুষের,আরেকটি চাওয়া, যশোরকে বিভাগ করা হোক এবং যশোর বিমানবন্দর কে আন্তর্জাতিক মানের বিমানবন্দর করা হক,, ধন্যবাদ মাননীয় প্রধানমন্ত্রী......",positive
"মানুষের দুর্ভোগ লাগব হয়েছে এটা ভাবতেই খুশি লাগছে। যদিও আমি দক্ষিণবঙ্গের মানুষ সরাসরি উপকার ভোগী নই তবুও এটা বাংলাদেশের সবার গৌরব, দেখার ইচ্ছে আছে ইনশাআল্লাহ 🇧🇩🇧🇩❤️❤️",positive
মাশাআললাহ খুব চমৎকার শেতু। পদদা শেতু বানিয়ে দেশের জনন যে একটি উপকার করেছে্ পদানমনতি শেখ হাসিনা। একমাএ আললাই জানেন। আর কেহ জানেনী। যে বুঝেসে সেই কামিয়াব হয়েছে। এই পদদা শেতু বানানোর জনন পদানমনতিকে অনেক অনেক অনেক ধননবাদ। মাশাআললাহু তাবারকাললাহ। আললাহ সুবহানাললাহু তায়ালা এই পদদা শেতুকে কিয়ামত পরজনত কবুল করে নিন। আমিন৷ ছুমমা আমিন। 👍❤️🎉,positive
মাশাআল্লাহ এটা আমার দেশ😂😂👍👍👍,positive
যারা আমাদের বাপ দাদা নিজেদের সহ যুগে যুগে ফেরী সার্ভিস দিয়ে আসতেছে তাদের জন্য মায়া লাগতেছে। পদ্মা সেতুর সাথে মাঝে মাঝে ফেরীতে পারাপারের ইচ্ছা আছে।,positive
"যে লুটপাটের মধ্য দিয়া পদ্মাসেতু হইছে এইডা নিয়া জনগনের কথা বলা উচিত, অথচ মূর্খের দলেরা তৈল মারতেছে...",negative
রেকর্ড হতে পারে।দিনে ১৪ হাজার যান্ত্রিক গাড়ি চলার সম্ভাবনা ছিলো।সেখানে ৩০ হাজার পার হয়ে যেতে পারে💞,neutral
"সর্বকালের সর্বশ্রেষ্ঠ সেতু! এটি এমন এক সেতু, যে সেতু নিয়ে নিউজ করলে নোবেল পুরষ্কার পাওয়ার জোর সম্ভাবনা! আর এই সেতু দিয়ে একবার যে চলাচল করবে তার দুনিয়া ও আখেরাতের কল্যান সাধিত হবে। মৃত্যুর আগে একবার হলেও স্বচক্ষে এই সেতু দেখার তাওফিক দিও গো মাবুদ 😭😭😭😭আর আজকে যারা এই পদ্মা সেতুর অনুষ্ঠানে উপস্থিত হয়েছে এবং যারা স্বচক্ষে এই সেতু দেখেছে তাদের জান্নাত নিশ্চিত 🤣🤣🤣🤣",negative
সর্বনাশা পদ্মানদীতে কত শত সাজ্বনহারাদের চোখের পানি মিশেছে তার হিসাব এবার এই সেতু ঘুচিয়ে দিলো। কালের স্বাক্ষী হয়ে থাকবে এই সেতু,negative
সসত্যিই অভাবনীয় এক অনুভব,positive
সূর্য আছ তুমি সূর্যাস্তেই তুমি ও আমার বাংলাদেশ প্রিয় জন্মভূমি। কত অপরুপ তুমি।,positive
সেতু তে যারা খাওয়া খাওয়ী করছে তাদের কে দৃষ্টি আকর্ষণ করে বলছে সেতু কোনো প্রকার ময়লা আবর্জনা ফেলবেন না এতে সেতুর সুন্দর্য নষ্ট হবে।আমরা বাঙলী কিন্তু না চাইতে ও সুন্দর্যু টা নষ্ট করে ফেলি,positive
সেতুর ধারে ঘেরা নেই যদি পড়ে যায় গাড়ি🥺🥺,neutral
স্বপ্নের পদ্মা সেতু ❤️ ধন্যবাদ বঙ্গবন্ধু কন্যা মাননীয় প্রধানমন্ত্রী শেখ হাসিনা.... 🥀🥀,positive
স্বপ্নের পদ্মা সেতু আজ চোখের সামনে ধন্যবাদ বঙ্গবন্ধু কন্যা মাননীয় শেখ হাসিনাকে ❤️💝💖🇧🇩🇧🇩👍😍😍,positive
হয়ছে তো ভাই!!!!আর ভাল লাগছে না।ভাল কথা বার বার বললে আকথা হয়ে যায়!!,positive
হায়রে পদ্মা সেতু ! ১ বছরেও গাবতলী থেকে সরাসরি বাস চলাচলের ব্যবস্থা করা গেলো না ! সেই ভোগান্তি রয়েই গেলো ! হানিফ ফ্লাইটওভারের জ্যাম সেই পুরোনো ফেরির জ্যামের কথাই মনে করিয়ে দেয়! কি লাভ হলো? আগে অতি দ্রুত গাবতলী থেকে পদ্মা সেতু হয়ে বাস চলাচলের ব্যবস্থা করা হোক !!,negative
"হাসিনা সরকার পদ্মা সেতু বানিয়েছে এটা একটা ভালো কাজ, কিন্তু হক কথা বলার জন্য অনেক আলেম ওলামাদের জেলখানার কূটরিতে বন্দি করে রেখেছে। আমি ভারত থেকে খুব কষ্ট পেয়েছি।",negative
আমি গর্বিত আমি বাঙালি আমার দেশে একটি পদ্মা সেতু আছে। সত্যি ২০২২ সালের ২৫ শে জুন পদ্মা সেতু হওয়ার পর বাংলাদেশের মানুষের বর্তমান যাতায়ত ব্যবস্থা সুবিধা হয়েছে বঙ্গবন্ধু সোনার বাংলা শ্রেষ্ঠ মিশন সমপন্ন করলো তার সুযোগ্য কন্যা জননেত্রী গণপ্রজাতন্ত্রী বাংলাদেশ সরকারের মাননীয় প্রধানমন্ত্রী শেখ হাসিনা। চমৎকার একটা গান অসাধারণ লাগে শুনতে খুব সুন্দর সুর সুরে গেয়েছে সবাই আজ ২০২৩ সালের ২ নভেম্বর কমেন্ট করে স্মৃতি রেখে গেলাম আমিও পদ্মা সেতু পাড়ি দেবো ইনশাআল্লাহ আর তখন যাতে কানে হেডফোন লাগিয়ে এই গান টা শুনতে পারি তাহলে অনেক ভালো লাগবে।👍👍👍👍,positive
ভালো লাগলো গানটা শুনে।,positive
পদ্মা সেতু ও বাংলাদেশ আমাদের অহংকার ও গর্ব,positive
আমি আওয়ামী লীগ সাপোর্ট করে,positive
জয় বাংলা জয় বঙ্গবন্ধু,positive
"ভুলে যাবেন না এটা চীনের ষড়যন্ত্র, ঋণের ফাঁদ",negative
"যদি আপনার টাকা আপনার সেতু তৈরি হয় তাহলে টোল ট্যাক্স কেন নিচ্ছে আপনাদের কাছ থেকে, ফ্রিতে পার হয়ে দেখান তো কই",positive
পাবলো টাকা দিয়ে জনগণের টাকা দিয়ে প্রবাসীদের ভাই বোনদের টাকা দিয়ে এবং বিদেশি মুদ্রা দিয়ে এবং এবং প্রাইম মিনিস্টার শেখ হাসিনা বিদেশের কাছে হাত পেতে ছায়া চীন করে এনে বাংলাদেশ পদ্মা সেতু করেছে আমাদের বাঙ্গালীর গর্ব পুরা বিশ্ব বিশ্ব জেনে গেছে জেনে গেছে বাংলাদেশ কিনা করতে পারে সবকিছু করতে পারে প্রাইম মিনিস্টার শেখ হাসিনা বঙ্গবন্ধু শেখ মুজিবর রহমান জয় বাংলা বঙ্গবন্ধু আন্তর্জাতিক জয় শেখ হাসিনা জয় রেহেনা বাংলাদেশের গর্ব জয় সোনার বাংলাদেশ জয় জয় বাংলাদেশের মানুষ মানুষ আমরা এখন গল্প করতে পারব আমাদের সোনার বাংলাদেশ বাংলাদেশ          আমাদের কেউ দাবিয়ে রাখতে পারবে না রক্ত যেন রক্ত দিয়েছি আরো দেবো বাংলাদেশ গোল মডেল করব করবোই ইনশাআল্লাহ করেই ছাড়বো আমরা প্রবাসী ছেলে আজ বিগত 28 বছর ধরে কুয়েতে আছি এবং থাকবো আরো বাংলাদেশ গোল মডেল করেই ছাড়বো বাংলাদেশ গোল মডেল করেই ছাড়বে আমাদের আম্মা প্রাইম মিনিস্টার শেখ হাসিনা জয় বাংলা জয় বঙ্গবন্ধু আমার এখানে বক্তব্য শেষ খোদা হাফেজ সালামুআলাইকুম,positive
অজস্র সালাম ফুলেল শুভেচছা ও আন্তরিক ধন্যবাদ <>স্বপ্ন বিজয়</> স্বাধীনতা থেকে সমৃদ্ধির পথে জাতির পিতা বঙ্গবন্ধু থেকে জয়তু বাঙালি জাতির স্বপ্ন সারথি পদ্মকন্যা মুকুটমনি রাষ্ট্রনায়ক জননেত্রী শেখ হাসিনার সততা আত্মবিশ্বাস ও সাহসিকতার প্রতিক ঐতিহাসিক স্বপ্নের পদ্মা সেতু ২৫ জুন শুভ উদ্বোধন করায় ইনশাআল্লাহ জয় বাংলা জয় বঙ্গবন্ধু।,positive
এই গানের মধ্যেও তেলের গন্ধ পাচ্ছি,neutral
সব আপুদের পর্দা করার তৌফিক আল্লাহ তায়ালা দান করেন।।,positive
প্রতিহিংসার গান গাইলে শয়তানের দল,neutral
